id,Data source citation,Class,Order,Family,Genus,Species,Sub species,Authority,Common Name,Location of population,Country list,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
13100,"Raven, G. H. and D. D. Lynne (2006). Changes in distribution and abundance of birds on western Victoria Island from 1992-1994 to 2004-2005. Technical Report Series No. 456. Edmonton, Canadian Wildlife Service, Prairie and Northern Region.",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Diamond Jenness Peninsula, Western Victoria Island",Canada,North America,70.736239,-116.559514,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Straight line aerial transects flown at 30m a.s.l.  2 observers recorded all birds within 200m of the helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,33,0.9,10.2,,,,,,,,,,0.9,0,,,,,,,,
13101,"Raven, G. H. and D. D. Lynne (2006). Changes in distribution and abundance of birds on western Victoria Island from 1992-1994 to 2004-2005. Technical Report Series No. 456. Edmonton, Canadian Wildlife Service, Prairie and Northern Region.",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Minto Inlet to Wynniatt Bay, Western Victoria Island",Canada,North America,71.952254,-113.030192,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Straight line aerial transects flown at 30m a.s.l.  2 observers recorded all birds within 200m of the helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,7.8,0,0,,,,,,,,,,0,0,,,,,,,,
13102,"Raven, G. H. and D. D. Lynne (2006). Changes in distribution and abundance of birds on western Victoria Island from 1992-1994 to 2004-2005. Technical Report Series No. 456. Edmonton, Canadian Wildlife Service, Prairie and Northern Region.",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Prince Albert Peninsula, Western Victoria Island",Canada,North America,72.581289,-116.457926,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Straight line aerial transects flown at 30m a.s.l.  2 observers recorded all birds within 200m of the helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,5.4,0.7,3.6,,,,,,,,,,3.3,1.3,,,,,,,,
13103,"Raven, G. H. and D. D. Lynne (2006). Changes in distribution and abundance of birds on western Victoria Island from 1992-1994 to 2004-2005. Technical Report Series No. 456. Edmonton, Canadian Wildlife Service, Prairie and Northern Region.",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Wollaston Peninsula, Western Victoria Island",Canada,North America,69.825001,-114.370524,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Straight line aerial transects flown at 30m a.s.l.  2 observers recorded all birds within 200m of the helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1.5,0.8,,,,,,,,
13104,"Raven, G. H. and D. D. Lynne (2006). Changes in distribution and abundance of birds on western Victoria Island from 1992-1994 to 2004-2005. Technical Report Series No. 456. Edmonton, Canadian Wildlife Service, Prairie and Northern Region.",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Tassijuak Lake, Western Victoria Island",Canada,North America,68.887828,-112.876383,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Straight line aerial transects flown at 30m a.s.l.  2 observers recorded all birds within 200m of the helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,6.4,1.9,,,,,,,,
13244,"Taylor, M. K., J. Laake, et al. (2008). Mark-recapture and stochastic population models for Polar bears of the High Arctic."" Arctic 61(2): 143-152.""",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,"Lancaster Sound, Nunavut",Canada,North America,74.646079,-92.875263,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of initial captures,Mark-recapture studies carried out over a systematic search of the area.,Yes,,,,,,,,,,,,,,,,,,,,,,,,51,91,134,155,184,,,,,,,,,,,,,,,,,
13245,"Taylor, M. K., J. Laake, et al. (2008). Mark-recapture and stochastic population models for Polar bears of the High Arctic."" Arctic 61(2): 143-152.""",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,"Norwegian Bay, Nunavut",Canada,North America,78.310956,-95.276473,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of initial captures,Mark-recapture studies carried out over a systematic search of the area.,Yes,,,,,,,,,,,,,,,,,,,,,,,,13,,36,19,24,,,,,,,,,,,,,,,,,
13310,"Robertson, G. J., H. G. Gilchrist, et al. (2007). Colony dynamics and persistence of Ivory gull breeding in Canada."" Avian Conservation and Ecology 2(2).""",Aves,Charadriiformes,Laridae,Pagophila,eburnea,,"(Phipps, 1774)",Ivory gull,"Seymour Island, Nunuvat",Canada,North America,76.810568,-101.267751,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals,Aerial surveys conducted by three observers in June or July  flying 80-100m from cliff faces at 40-60km/h - when birds were spotted  the helicopter slowed to a hover for a count.,No,,,,,,,339.78,300.45,300.13,351.3,,,,,,225.34,351.34,,,,,,,,,,,,,,,,,,,200.49,119.91,109.68,143.59,,,,,,
13389,"Hines, J. E. and M. O. Wiebe (2003). Aerial surveys of Greater white-fronted geese Anser albifrons frontalis and other waterfowl in the Rasmussen Lowlands of the Central Canadian Arctic."" Wildfowl 54: 183-199.""",Aves,Charadriiformes,Laridae,Larus,hyperboreus,,"Gunnerus, 1767",Glaucous gull,"Rasmussen lowlands of the central Canadian Arctic, Nunavut",Canada,North America,68.56,-93.23,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Aerial transects by helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.14,,,,,,,,,,,,,,,,,,,
13391,"Hines, J. E. and M. O. Wiebe (2003). Aerial surveys of Greater white-fronted geese Anser albifrons frontalis and other waterfowl in the Rasmussen Lowlands of the Central Canadian Arctic."" Wildfowl 54: 183-199.""",Aves,Charadriiformes,Laridae,Larus,thayeri,,"Brooks, 1915",Thayer's gull,"Rasmussen lowlands of the central Canadian Arctic, Nunavut",Canada,North America,68.56,-93.23,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Aerial transects by helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.02,,,,,,,,,,,,,,,,,,,
13431,"Latour, P. B., C. S. Machtans, et al. (2005). Shorebird and passerine abundance and habitat use at a High Arctic breeding site: Creswell Bay"," Nunavut."" Arctic 58(1): 55-65.""",Aves,Charadriiformes,Scolopacidae,Phalaropus,,"(Linnaeus, 1758)",Red phalarope / Grey phalarope,"Creswell Bay, southeastern coast of Somerset Island, central Canadian Arctic islands",Canada,North America,72.83,-93.5,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Bird count along the 25m wide transects in 400 m2 plots. ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,8,,,,,,,,,,,,,,,,
13440,"Gaston, A. J., M. L. Mallory, et al. (2012). Population and trends of Canadian Arctic seabirds."" Polar Biology 35: 1221-1232.""",Aves,Charadriiformes,Alcidae,Uria,lomvia,,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,"Digges Island, Nunavut",Canada,North America,62.570058,-77.954487,TRUE,Marine,Unknown,Arctic,Yes,No,No,Monitoring count index,Population counts taken from high resolution photographs taken between mid-incubation and mid-chick-rearing.,No,,,,,,,,,,,99.54,,,,,107.54,,,,,94.39,,104.26,102.59,106.93,,,,,110.46,,,,,109.34,,,,,,,,,,
13441,"Gaston, A. J., M. L. Mallory, et al. (2012). Population and trends of Canadian Arctic seabirds."" Polar Biology 35: 1221-1232.""",Aves,Procellariiformes,Procellariidae,Fulmarus,glacialis,,"(Linnaeus, 1761)",Fulmar / Northern fulmar,"Prince Leopold Island, Nunavut",Canada,North America,74.03333,-90,TRUE,Marine,Unknown,Arctic,Yes,No,No,Monitoring Count Index,Population counts taken from high resolution photographs taken between mid-incubation and mid-chick-rearing.,No,,,,,,,,99.58,,,115.61,,,,,,,,101.23,,,,,,,,,,,,,87.09,82.61,107.36,,100.99,,,73.18,90.86,36.18,,,,
13531,"Environment Canada (2015). North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2014. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.""",Aves,Charadriiformes,Laridae,Sterna,paradisaea,,"Pontoppidan, 1763",Arctic tern,Canada,Canada,North America,60.108611,-113.6425,FALSE,Marine,Unknown,Arctic,Yes,No,No,Annual Index,Volunteer survey of set routes during peak breeding season,No,,,,,15.3,15.1,14.5,14.6,14.1,13.4,13.1,12.8,12.5,12.3,11.9,11.6,11.2,11.1,11.2,10.1,9.81,9.76,9.3,9.65,9.21,8.94,8.73,8.67,7.75,7.98,7.96,7.95,7.42,7.55,7.09,7.08,6.96,6.3,6.3,6.48,6.02,5.96,5.88,5.65,5.51
14864,"Stewart, R. E. A., E. W. Born, et al. (2013). Estimates of minimum population size for Walrus near southeast Baffin Island"," Nunavut."" North Atlantic Marine Mammal Commission Sci. Publ. 9.""",Mammalia,Carnivora,Odobenidae,Odobenus,,"Illiger, 1815",Pacific walrus,"Eastern Baffin Island, between Cape Dyer and Loks Land, Nunavut",Canada,North America,64.284513,-63.277839,FALSE,Marine,Unknown,Arctic,Yes,No,No,Minimum counted population,Aerial and boat surveys. Tags deployed on a small sample were used to adjust count to include the fraction of the population which was not present at the haul-outs during surveys.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,1198,1639,955,,,,,
14865,"Stewart, R. E. A., E. W. Born, et al. (2013). Use of multiple methods to estimate Walrus (Odobenus rosmarus rosmarus) abundance in the Penny Strait-Lancaster Sound and West Jones Sound Stocks"," Canada."" North Atlantic Marine Mammal Commission Scientific Publications 9.""",Mammalia,Carnivora,Odobenidae,Odobenus,,"Illiger, 1815",Pacific walrus,"Penny Strait - Lancaster Sound, Nunavut",Canada,North America,74.21822,-83.9992,FALSE,Marine,Unknown,Arctic,Yes,No,No,Minimum counted population,Counts based on aerial surveys were adjusted through tagging to account for individuals not present at haul-outs.,No,,,,,,,,,565,,,,,,,,,,,,,,,,,,,,,200,441,149,44,,137,74,17,308,515,308,557,,,,
14866,"Stewart, R. E. A., E. W. Born, et al. (2013). Use of multiple methods to estimate Walrus (Odobenus rosmarus rosmarus) abundance in the Penny Strait-Lancaster Sound and West Jones Sound Stocks"," Canada."" North Atlantic Marine Mammal Commission Scientific Publications 9.""",Mammalia,Carnivora,Odobenidae,Odobenus,,"Illiger, 1815",Pacific walrus,"West Jones Sound, Nunavut",Canada,North America,76.001667,-85.999722,FALSE,Marine,Unknown,Arctic,Yes,No,No,Minimum counted population,Counts based on aerial surveys were adjusted through tagging to account for individual not present at haul-outs.,No,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,179,110,204,185,,114,171,19,94,101,404,388,,,,
17829,"Ferguson, S. H. and B. G. Young (2011). Aerial survey estimates of hauled-out ringed seal (Pusa hispida) density in western Hudson Bay, June 2009 and 2010. DFO Can. Sci. Advis. Sec. Res. Doc. 2011/029: i-iv, 1-12.",Mammalia,Carnivora,Phocidae,Pusa,hispida,,"(Schreber, 1775)",Ringed seal,Western Hudson Bay,Canada,North America,59.871111,-91.911111,TRUE,Marine,Unknown,Arctic,Yes,No,No,Individuals per km2,Aerial surveys along strip-transects,No,,,,,,,,,,,,,,,,,,,,,,,,,,1.219,0.992,0.677,,0.445,0.606,,,,,,,0.917,0.439,,0.727,,,,
