id,Data source citation,Class,Order,Family,Genus,Species,Sub species,Authority,Common Name,Location of population,Country list,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
8111, CAFF (2008). CAFFs Circumpolar seabird group- Ivory Gull. CAFF Technical report. 18.,Aves,Charadriiformes,Laridae,Pagophila,eburnea,,"(Phipps, 1774)",Ivory gull,"Various in Canada, Greenland, Russia, Norway (midpoint latitude below)","Russian Federation, Greenland, Norway, Canada",Asia,78,-24,FALSE,Marine,Unknown,Arctic,Yes,No,No,Pairs of birds,unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,9750,,,,,,
8124," Ebbinge, B. S. and Y. L. Mazurov (2006). Breeding Biology of waders and waterfowl at the mainland. Pristine wilderness of the Taimyr Peninsula; 2005 report. B. S. Ebbinge and Y. L. Mazurov. Moscow, Heritage Institute: 106-107.",Aves,Anseriformes,Anatidae,Polysticta,stelleri,,"(Pallas, 1769)",Steller's eider,Taimyr Peninsula,Russian Federation,Asia,74.16667,97.75,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,unknown (presumably regular surveys carried out on the study site),No,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,,,,,,0,5,,,,,,,,,
8127," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,,"(Linnaeus, 1758)",Atlantic puffin,Bol'shoy Aynov Island,Russian Federation,Asia,69.83694,31.56917,TRUE,Marine,Unknown,Arctic,Yes,No,No,Occupied burrows-% change from 1st count.,census,No,13.1,19.4,12,14.4,15.9,16.5,16.3,15.6,12,18.5,16.5,16.7,16.9,12.3,15.3,12.8,15.3,20.6,17.7,16,13,13.3,13.8,13.2,13.8,14.8,,,,,,,,,,,,,,,,,,,
8128," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,,"(Linnaeus, 1758)",Atlantic puffin,Maly Aynov Island,Russian Federation,Asia,69.82028,31.63278,TRUE,Marine,Unknown,Arctic,Yes,No,No,Occupied burrows-% change from 1st count.,census,No,23.3,,,,,,,8.8,,5.6,7.9,8,10,,,,4.6,,,,4,,2.8,,,2.4,,,,,,,,,,,,,,,,,,,
8129," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,,"(Linnaeus, 1758)",Atlantic puffin,Gavriloski island,Russian Federation,Asia,69.17111,35.91667,TRUE,Marine,Unknown,Arctic,Yes,No,No,no. birds-% change from 1st count.,census,No,128.8,,,,,,,,,,,,,,,,1376.1,1299.5,1213.2,1145.7,1107,1186.2,1300.6,1425.9,1286.1,1442.9,,,,,,,,,,,,,,,,,,,
8130," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,,"(Linnaeus, 1758)",Atlantic puffin,Seven islands,Russian Federation,Asia,68.75,37.5,TRUE,Marine,Unknown,Arctic,Yes,No,No,no. birds-% change from 1st count.,census,No,,,,,,,,,,,,,,,,,,,,,,337.3,417.2,462.7,417.4,419.8,,,,,,,,,,,,,,,,,,,
8134," Ebbinge, B. S. and Y. L. Mazurov (2006). Breeding Biology of waders and waterfowl at the mainland. Pristine wilderness of the Taimyr Peninsula; 2005 report. B. S. Ebbinge and Y. L. Mazurov. Moscow, Heritage Institute: 106-107.",Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,,"(Linnaeus, 1758)",Grey plover / Black-bellied plover,Taimyr Peninsula,Russian Federation,Asia,74.16667,97.75,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,unknown (presumably regular surveys carried out on the study site),No,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,,,,,,,5,4,,,,,,,,,
8141," Ebbinge, B. S. and Y. L. Mazurov (2006). Breeding Biology of waders and waterfowl at the mainland. Pristine wilderness of the Taimyr Peninsula; 2005 report. B. S. Ebbinge and Y. L. Mazurov. Moscow, Heritage Institute: 106-107.",Aves,Charadriiformes,Scolopacidae,Phalaropus,fulicarius,,"(Linnaeus, 1758)",Red phalarope / Grey phalarope,Taimyr Peninsula,Russian Federation,Asia,74.16667,97.75,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,unknown (presumably regular surveys carried out on the study site),No,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,,,,,,,,,0,4,,,,,,,,,
8142," Ebbinge, B. S. and Y. L. Mazurov (2006). Breeding Biology of waders and waterfowl at the mainland. Pristine wilderness of the Taimyr Peninsula; 2005 report. B. S. Ebbinge and Y. L. Mazurov. Moscow, Heritage Institute: 106-107.",Aves,Charadriiformes,Scolopacidae,Phalaropus,lobatus,,"(Linnaeus, 1758)",Red-necked phalarope,Taimyr Peninsula,Russian Federation,Asia,74.16667,97.75,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,unknown (presumably regular surveys carried out on the study site),No,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,,,,,,,,,0,0,,,,,,,,,
8143," Ebbinge, B. S. and Y. L. Mazurov (2006). Breeding Biology of waders and waterfowl at the mainland. Pristine wilderness of the Taimyr Peninsula; 2005 report. B. S. Ebbinge and Y. L. Mazurov. Moscow, Heritage Institute: 106-107.",Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,,"Vieillot, 1819",Long-tailed jaeger / Long-tailed skua,Taimyr Peninsula,Russian Federation,Asia,74.16667,97.75,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,unknown (presumably regular surveys carried out on the study site),No,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,2,1,,,,,,,,,
8144," Ebbinge, B. S. and Y. L. Mazurov (2006). Breeding Biology of waders and waterfowl at the mainland. Pristine wilderness of the Taimyr Peninsula; 2005 report. B. S. Ebbinge and Y. L. Mazurov. Moscow, Heritage Institute: 106-107.",Aves,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,,"(Temminck, 1815)",Pomarine skua / Pomarine jaeger,Taimyr Peninsula,Russian Federation,Asia,74.16667,97.75,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,unknown (presumably regular surveys carried out on the study site),No,,,,,,,,,,,,,,,,,,,,,,,,0,17,0,,,,,,,,,0,31,,,,,,,,,
8168,"Zockler, C. (2009). Spoon-billed sandpiper population trends: Data sent by Christoph Zockler (UNEP-WCMC),.| Zockler, C., E. E. Syroechkovskiy, et al. (2010). Rapid and continued population decline in the Spoon-billed Sandpiper Eurynorhynchus pygmeus indicates imminent extinction unless conservation action is taken."" Bird Conservation International 20: 95-111.""",Aves,Charadriiformes,Scolopacidae,Calidris,pygmaea,,"(Linnaeus, 1758)",Spoon-billed sandpiper,"Belyaka Spit & Yuzhny Island, Chukotka",Russian Federation,Asia,67.06667,-174.61667,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Count survey,No,,,,,95,,,,,,,,,,,,,48,,,,,,,,,,,,,,,18,,,,,8,,0,,,,,
8201," Kharitonov, S. P., N. A. Egerova, et al. (2007). Birds and Mammals along the Agapa River"," Central part of Taimyr Peninsula in Ecosystem biodiversity on the Putorana Plateau and surrounding areas.""""",Aves,Charadriiformes,Laridae,Larus,smithsonianus,"Coues, 1862",Arctic herring gull,"Agapa River Valley, Taimyr",Russian Federation,Asia,76.01667,104.01667,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of pairs,unknown (presumably regular annual surveys),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,36,,,,,,,
