Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Pagophila_eburnea,1,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.0277822120469078,-0.00130081027532714,0.033114960563811,-0.0171393985340296,-0.0171393985340296,-0.0171393985340293,-0.0171393985340293,-0.0171393985340296,-0.0171393985340296,0.0953752432733581,-0.00748085445638003,-0.00748085445638003,-0.0074808544563798,-0.00748085445638003,-0.00748085445638003,-0.0074808544563798,-0.00748085445638003,-0.00748085445638003,-0.0074808544563798,-0.0074808544563798,0.315894726766783,-0.0128228884798594,-0.0129582534057506,-0.0129582534057511,-0.0129582534057504,-0.0129582534057511,-0.0129582534057506,-0.0129582534057504,-0.301200638009784,-0.118165465597615,-0.0259107897649762,0.0519515676958853,-0.0130936183316415,-0.0130936183316415,NA,NA,NA,NA,NA,NA
Somateria_mollissima,1,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455964,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455964,-0.0197644303455959,-0.0197644303455959,0.000294919103489777,-0.000252095773849437,-0.00118828438180607,-0.00219389585484775,-0.00309611686707445,-0.00397575774344805,-0.00497281668148641,-0.00610763504491829,-0.00737767180185833,-0.00878292695231142,-0.0102728179334419,-0.338935015789844,0.102782765053252,-0.00549813672058498,-0.00572336086497427,-0.0127091752783685,-0.0127715951509402,-0.0127585378853517,-0.012728632008563,-0.0119723262745618,-0.0119723262745968,-0.0119723262746351,-0.0119723262746671,-0.172142114554368,-0.0808945536310159,-0.0808945536311341,-0.0808945536311936,NA,NA,NA,NA,NA,NA
Phalaropus_fulicarius,1,-0.0212121715863807,-0.0212121715863804,-0.0212121715863804,-0.0212121715863804,-0.0212121715863804,-0.0212121715863804,-0.0212121715863802,-0.0212121715863807,-0.0212121715863804,-0.290939738878059,-0.0430381236257277,-0.0430381236257277,-0.0430381236257277,-0.0430381236257277,-0.0430381236257277,-0.0430381236257277,-0.0430381236257278,-0.0430381236257277,-0.0430381236257276,-0.0430381236257277,0.0302551473236192,0.0302551473236193,0.0302551473236194,0.0302551473236193,0.0302551473236193,0.0302551473236193,0.0095234088138398,0.00952340881383388,0.0095234088138297,0.0312180783914524,0.0312180783915276,0.0312180783916816,0.0497054741932652,0.0994109483869973,0.0994109483873538,0.0994109483875196,0.0994109483875264,0.0994109483874848,NA,NA,NA,NA,NA,NA
Alca_torda,1,0.00800807973655182,0.00800807973655167,0.00800807973655152,0.00800807973655182,0.00800807973655182,0.00800807973655152,0.00800807973655152,0.00800807973655182,0.00800807973655167,0.00800807973655167,0.00800807973655167,0.00800807973655182,0.00800807973655167,0.00800807973655182,0.00800807973655152,0.0220176785972379,0.0220176785972384,0.0220176785972384,0.0250858329719983,0.0250858329719987,0.0250858329719983,0.0250858329719983,0.0250858329719987,NA,NA,NA,0.0528691590622032,0.0427887459925769,0.00983240608954539,-0.0495525771128604,-0.110386506532848,-0.131592963887487,-0.0967618347803461,-0.0414373197397764,-0.0305470015305795,-0.0991063151298421,-0.212659636538417,-0.294193956334475,NA,NA,NA,NA,NA,NA
Larus_hyperboreus,1,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671122,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,NA,NA,NA,0.0112406181290954,0.0112406181290954,0.0112406181290949,0.0112406181290954,0.0112406181290954,0.0112406181290949,0.0112406181290954,0.0112406181290949,0.0112406181290954,0.0112406181290954,0.0112406181290954,0.0112406181290949,0.0112406181290954,NA,NA,NA,NA,NA,NA
Coregonus_autumnalis,1,0.0895851805995058,0.1489705427717,0.041943521916981,-0.0922965419331314,-0.0696081845529757,0.0197562914353901,-0.0554275372696789,-0.247961939490195,-0.220454859414126,0.154562870693125,0.534689640932847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clangula_hyemalis,1,0.0821867561873502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0709833860610698,0.0867963324541809,0.149683595895229,0.266644477304758,0.386474136140757,0.436826176807343,0.390607695415219,0.28224419628917,0.121781789325393,0.050884817719295,0.103368327523665,0.0671908839800268,-0.303353898229484,-0.0491487627080201,-0.0572978998949782,-0.052050219932432,0.0479331382576617,0.00404198206857169,0.0126686165308783,0.0761122834151986,NA,NA,NA,NA,NA,NA
Reinhardtius_hippoglossoides,1,0.091396485582774,0.100133615460241,0.0852743514654084,0.050582329309095,0.0181621972922925,0.0027712828801052,-0.00393606088464393,-0.0204685159479903,-0.0497736396252657,-0.0722262415905695,-0.0665836429859441,-0.0345085075916067,0.000356212792781196,0.0175910131069439,0.0196732215858972,0.0238074849447103,0.0378308407008037,0.0512307690844827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balaenoptera_physalus,1,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.000533578929841294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ursus_maritimus,1,NA,NA,0.11515971694113,0.105333948836269,0.0853445261150019,0.059110287294303,0.0335863922322406,0.000861715642879401,-0.00360420900292469,-0.00519006597987248,-0.00745179883529246,-0.0111988664537697,0.0114023193861201,-0.0157341777996401,-0.0519309871503778,-0.0337542100331436,-0.0529882065564562,-0.0290192315931899,-0.0123856413227819,-0.000830217198193137,-0.000627498582482011,-0.00639492583390125,-0.0119261643785689,0.0701673531355301,0.0862327158099745,-0.0319362883896371,0.0478561685482651,0.0226700520078581,0.0228865982338625,0.021761997725777,0.0194415337589193,0.0165063394345699,0.0131016980280953,0.0131060527826765,0.00838483957466862,NA,NA,NA,NA,NA,NA,NA,NA,NA
