population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1832,1,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697357,-0.0439570121697348,-0.0439570121697357,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-0.0439570121697352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1826,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1879,1,-0.241065059017442,-0.221073885007721,-0.166615141778952,-0.0997152029832384,-0.0373798210272716,0.014642881223859,0.0582777716577749,0.0945401160003576,0.117904168514591,0.118609625273982,0.0910175264384652,0.0408780558474002,-0.0148922364112072,-0.0563060355668927,-0.0705616168456702,-0.0576020024673065,-0.0283120694662742,0.00428769910267324,0.0360650055467047,0.0609977004824924,0.0759224129867775,0.0818434534371049,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1877,1,0.00198945611133361,0.00198945611133405,0.00198945611133361,0.00198945611133361,0.00198945611133361,0.00198945611133405,0.00198945611133361,0.00198945611133361,0.00198945611133361,0.00198945611133361,0.00198945611133405,0.00198945611133361,0.00198945611133361,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1529,1,0.0024025923651747,-0.00803796683169811,-0.00824437111987741,-0.0376437528670692,-0.0987436353857154,-0.138024237739528,-0.116927364652383,-0.0657220148981574,-0.0381516482805155,-0.0379107842908244,-0.0266939601509364,0.00503268610036312,0.0150728987873618,-0.0309212114799582,-0.101399196258631,-0.12228061068104,-0.0572259448791774,0.0456695042984467,0.0951145204502346,0.0500294212291585,-0.0310044088692605,-0.0474455267637826,0.0307663943989267,0.126282753632719,0.145239026367249,0.0865900464948073,0.0311398003563479,0.0317319974948802,0.0571355907345756,0.0554697016304795,0.0305777198931185,0.0227148228447325,0.0400147024473547,0.0506609685998578,0.0344904561179238,0.00378680140912646,-0.0279970819121154,-0.0615543239669059,-0.0871366138470933,-0.0800064343971716,-0.0396290846338312,-0.005129286134542,-0.00693866978116198,-0.0255753969152295
1695,1,-0.00611907642987797,-0.00611907642987752,-0.00611907642987797,-0.00611907642987797,-0.00611907642987752,-0.00611907642987797,-0.00611907642987797,-0.00611907642987752,-0.00611907642987797,-0.00611907642987752,-0.00611907642987797,-0.278753600952829,0.0413926851582249,-0.0202033860882871,-0.00415595977115757,-0.204119982655925,0.0621479067488444,-0.068881289407813,0.235212711174338,-0.166331421766525,0.1249387366083,-0.259637310505756,0.072550667148612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8201,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0152524968535586,-0.0152524968535583,-0.0152524968535583,-1,-1,-1,-1,-1,-1,-1
1847,1,0.0265504167412498,0.0265504167412656,0.0265504167412827,0.0265504167413015,0.0265504167413212,0.0265504167413425,0.0265504167413655,0.0265504167413897,0.0265504167414152,0.0265504167414423,0.0265504167414679,0.0265504167414923,0.0265504167415158,0.0265504167415374,0.0265504167415584,0.0265504167415778,0.0265504167415955,0.0265504167416126,0.0265504167416282,0.0265504167416422,0.0265504167416544,0.0265504167416641,0.0265504167416712,0.0265504167416761,0.026550416741679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1758,1,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043289981,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043289981,0.644612342013426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8111,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0130936183316415,-0.0130936183316424,-0.0130936183316415,-0.0130936183316424,-0.0130936183316415,-0.0130936183316415,-0.0130936183316424,-0.0130936183316415,-0.0130936183316415,-0.0130936183316424,-0.0130936183316415,-0.0130936183316415,-1,-1,-1,-1,-1,-1
1716,1,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671122,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,0.0263030927671117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
