population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
13245,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.221179574230225,0.221179574230225,-0.277548899814458,0.101457640758777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13097,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.800894377522203,-0.616300430442573,-0.0273001272063737,-0.0273001272063738,-0.0273001272063738,-0.0273001272063737,-0.0273001272063738,-0.0273001272063737,-0.0273001272063738,-0.0273001272063737,-0.0273001272063738,-0.0273001272063737,0.687974620034556,-1,-1,-1,-1,-1
13098,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.1378717791808,-0.327394863609259,-0.181047691557154,-0.181047691557154,-0.181047691557154,-0.181047691557154,-0.181047691557154,-0.181047691557154,-0.181047691557154,-0.181047691557154,-0.181047691557154,-0.181047691557154,0,-1,-1,-1,-1,-1
13099,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
13100,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.51459693941858,1.00796892967128,-0.100796892967127,-0.100796892967128,-0.100796892967128,-0.100796892967128,-0.100796892967127,-0.100796892967128,-0.100796892967128,-0.100796892967128,-0.100796892967128,-0.100796892967127,-0.954242509439325,-1,-1,-1,-1,-1
13101,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.00432137378264,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
13102,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.887295719808712,0.71120446075303,-0.00377885608894002,-0.00377885608893991,-0.00377885608894002,-0.00377885608894002,-0.00377885608893991,-0.00377885608893991,-0.00377885608894002,-0.00377885608894002,-0.00377885608894002,-0.00377885608894002,-0.404570587571051,-1,-1,-1,-1,-1
13103,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.192610028287293,0.192610028287293,0.192610028287293,0.192610028287293,0.192610028287293,0.192610028287293,0.192610028287293,0.192610028287293,0.192610028287293,0.192610028287293,0.192610028287293,-0.270119627351585,-1,-1,-1,-1,-1
13104,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0934571566909313,0.0934571566909312,0.0934571566909312,0.0934571566909312,0.0934571566909312,0.0934571566909313,0.0934571566909312,0.0934571566909312,0.0934571566909312,0.0934571566909312,0.0934571566909312,-0.527426373031058,-1,-1,-1,-1,-1
17829,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0894920334642033,-0.165923003469034,-0.0911143288521063,-0.0911143288521064,0.134112613185355,0.0256995302148193,0.0256995302148192,0.0256995302148193,0.0256995302148193,0.0256995302148193,0.0256995302148192,0.0256995302148193,-0.3199048154279,0.109534945308458,0.109534945308458
8219,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0155179528248859,-0.0049338332868607,0.0138444628885784,0.0384038941702824,0.0705536341413907,0.111034273374198,0.151953909471967,0.180402594398089,0.191014720555446,0.191218728317702,-1,-1,-1
